75
2,2006-06-01 08:00:00,2006-07-19 11:41:43,5,40.281,-124.425,4,27.061
4,2007-05-28 08:00:00,2007-07-20 17:50:20,3.9,38.807,-122.806,1,17.139
6,2007-06-19 08:00:00,2007-09-02 17:29:14,4.8,33.733,-117.466,1,12.896
7,2006-09-07 08:00:00,2006-10-20 17:00:08,4.6,38.867,-122.787,4,23.393
8,2007-08-05 08:00:00,2007-10-31 22:54:24,4,37.435,-121.779,0,2.159
9,2006-10-28 08:00:00,2007-01-24 13:42:52,4.4,40.312,-124.585,2,41.02
11,2006-11-07 08:00:00,2007-01-24 13:42:52,4.4,40.312,-124.585,2,41.02
13,2007-09-11 08:00:00,2007-10-31 03:04:54,5.6,37.434,-121.774,3,38.295
15,2008-05-21 08:00:00,2008-07-29 18:42:15,5.5,33.953,-117.761,4,23.817
17,2007-10-29 08:00:00,2007-12-01 20:50:12,4,38.816,-122.791,2,18.758
20,2009-05-13 08:00:00,2009-08-07 10:49:34,5,40.31,-124.637,4,45.324
21,2008-07-30 08:00:00,2008-10-02 09:41:49,4.1,34.084,-116.968,3,4.078
23,2009-01-27 08:00:00,2009-03-30 17:40:29,4.3,37.285,-121.615,0,20.582
32,2009-11-16 08:00:00,2010-01-12 02:36:08,4.3,33.966,-116.876,0,17.103
36,2011-10-05 08:00:00,2011-12-02 00:55:23,4.9,22.985,121.428,2,27.433
56,2010-12-01 08:00:00,2011-01-08 00:10:16,4.1,37.287,-121.658,8,17.91
60,2011-02-03 08:00:00,2011-04-23 20:49:29,3.6,33.021,-116.318,5,8.024
63,2012-05-14 08:00:00,2012-08-06 07:35:49,4.4,35.949,-120.503,1,26.066
64,2011-03-21 08:00:00,2011-05-27 23:17:24,3.8,34.225,-117.048,5,17.325
66,2011-11-14 08:00:00,2012-01-14 01:42:10,3.2,36.659,-121.278,4,3.484
67,2012-06-02 08:00:00,2012-08-06 07:35:49,4.4,35.949,-120.503,2,42.089
69,2012-07-18 08:00:00,2012-09-14 11:53:17,4.4,40.443,-124.186,2,41.832
78,2012-09-18 08:00:00,2012-10-21 06:55:09,5.4,36.311,-120.856,2,49.426
90,2012-12-22 08:00:00,2013-03-14 09:09:23,4.5,38.812,-122.786,8,33.448
105,2013-01-27 08:00:00,2013-03-11 16:56:06,4.7,33.502,-116.457,5,46.278
113,2012-06-24 08:00:00,2012-08-26 19:31:22,5.4,33.019,-115.546,0,17.796
115,2012-06-25 08:00:00,2012-08-26 19:40:12,4.3,32.987,-115.597,5,21.785
116,2013-03-25 08:00:00,2013-06-02 10:46:27,4.6,-14.45,-75.423,1,29.802
129,2013-05-17 08:00:00,2013-07-24 16:46:02,4.3,35.486,-118.287,1,35.682
138,2012-07-12 08:00:00,2012-09-14 11:53:17,4.4,40.443,-124.186,3,17.158
142,2012-07-13 08:00:00,2012-08-26 19:33:00,4.9,33.021,-115.554,4,17.939
143,2013-07-28 08:00:00,2013-09-18 03:33:17,4.6,24.543,122.078,7,44.512
147,2012-07-20 08:00:00,2012-08-26 19:16:11,4,33.019,-115.549,1,19.06
148,2013-08-16 08:00:00,2013-10-31 19:27:13,4.4,23.618,121.491,1,31.611
149,2012-07-23 08:00:00,2012-08-26 19:31:22,5.4,33.019,-115.546,4,19.145
151,2012-07-24 08:00:00,2012-08-26 19:40:12,4.3,32.987,-115.597,6,14.32
152,2013-09-04 08:00:00,2013-10-31 12:02:08,6.3,23.59,121.437,8,36.034
155,2013-09-27 08:00:00,2013-10-31 15:47:28,4.7,23.621,121.481,8,31.571
156,2012-07-31 08:00:00,2012-10-21 06:55:09,5.4,36.311,-120.856,8,14.58
163,2012-08-20 08:00:00,2012-09-22 03:52:26,5,38.1,22.77,6,10.908
166,2013-11-09 08:00:00,2014-01-15 09:35:18,4.43,34.143,-117.442,4,30.783
169,2013-12-02 08:00:00,2014-01-14 23:06:43,4.1,22.937,121.169,0,24.444
171,2013-12-03 08:00:00,2014-01-15 09:35:18,4.43,34.143,-117.442,0,27.446
172,2012-09-16 08:00:00,2012-10-28 15:24:23,3.9,34.351,-118.458,8,17.333
176,2013-12-19 08:00:00,2014-03-17 13:25:36,4.39,34.135,-118.486,1,45.482
180,2013-12-27 08:00:00,2014-02-06 19:42:21,4.1,35.526,-121.271,6,25.19
183,2012-10-21 08:00:00,2012-12-09 01:23:06,4,37.93,22.61,5,4.724
193,2014-01-18 08:00:00,2014-03-17 13:25:36,4.39,34.135,-118.486,4,35.679
194,2012-12-18 08:00:00,2013-02-08 04:51:45,2.7,33.185,-115.601,6,0.879
199,2013-01-11 08:00:00,2013-03-14 09:09:23,4.5,38.812,-122.786,1,18.805
202,2014-01-29 08:00:00,2014-03-17 13:25:36,4.39,34.135,-118.486,5,48.4
205,2014-02-01 08:00:00,2014-03-17 13:25:36,4.39,34.135,-118.486,7,27.377
211,2014-02-04 08:00:00,2014-03-17 13:25:36,4.39,34.135,-118.486,1,32.968
212,2014-02-06 08:00:00,2014-03-17 13:25:36,4.39,34.135,-118.486,6,28.476
213,2013-04-04 08:00:00,2013-06-28 03:52:39,3.9,36.754,-121.47,2,4.583
215,2013-04-10 08:00:00,2013-05-29 14:38:03,4.8,34.413,-119.926,6,14.026
232,2014-05-26 08:00:00,2014-07-11 09:46:04,4.6,38.446,23.708,5,41.523
233,2014-06-08 08:00:00,2014-08-24 10:20:44,6,38.22,-122.313,1,29.219
234,2014-06-08 08:00:00,2014-08-24 10:20:44,6,38.22,-122.313,3,46.201
237,2014-06-11 08:00:00,2014-08-24 10:20:44,6,38.22,-122.313,7,23.844
238,2014-06-11 08:00:00,2014-08-24 10:20:44,6,38.22,-122.313,4,41.688
248,2013-04-30 08:00:00,2013-07-03 21:05:00,3.4,36.639,-121.255,4,1.933
249,2014-01-03 08:00:00,2014-03-15 15:12:19,3.92,34.614,-118.631,2,17.703
254,2014-01-18 08:00:00,2014-03-28 04:15:29,3.44,33.18,-115.6,4,0.985
258,2014-01-21 08:00:00,2014-03-13 02:11:04,4.39,36.112,-118.055,0,12.071
262,2014-01-24 08:00:00,2014-03-29 21:32:45,4.14,33.961,-117.892,3,9.624
267,2014-01-29 08:00:00,2014-03-26 12:23:56,4.3,23.277,121.446,5,17.916
268,2013-07-03 08:00:00,2013-09-19 12:06:33,3.8,34.082,-117.784,5,8.922
273,2014-02-09 08:00:00,2014-03-29 04:30:51,3.64,33.916,-117.931,2,9.947
276,2013-07-29 08:00:00,2013-10-08 11:27:31,4.5,-14.484,-75.811,8,17.838
277,2014-02-23 08:00:00,2014-03-28 06:10:35,2.71,33.18,-115.602,0,0.799
281,2014-03-05 08:00:00,2014-04-19 12:15:13,4.24,35.466,-118.521,4,23.024
286,2013-10-21 08:00:00,2013-12-02 10:05:21,3.7,36.94,-121.536,3,7.818
291,2013-11-01 08:00:00,2014-01-15 09:35:18,4.43,34.143,-117.442,7,14.42
299,2013-12-08 08:00:00,2014-01-15 09:35:18,4.43,34.143,-117.442,2,16.977
